Year,Country,Flow Label,Direction Label,FDI_Current,FDI_Percentage
2007,Sub-Saharan Africa,Stock,Outward,67059.387,0.359956
2007,Western Africa,Flow,Inward,9527.481,0.504816
2007,Western Africa,Flow,Outward,1269.154,0.057916
2007,Western Africa,Stock,Inward,59644.064,0.332697
2007,Western Africa,Stock,Outward,5457.666,0.029295
2007,Benin,Flow,Inward,255.244,0.013524
2007,Benin,Flow,Outward,-6.093,-0.000278
2007,Benin,Stock,Inward,556.27,0.003103
2007,Benin,Stock,Outward,29.689,0.000159
2008,Sub-Saharan Africa,Flow,Inward,36960.697,2.537324
2008,Sub-Saharan Africa,Flow,Outward,1300.668,0.075741
2008,Sub-Saharan Africa,Stock,Inward,244317.859,1.645178
2008,Sub-Saharan Africa,Stock,Outward,66087.319,0.429583
2008,Western Africa,Flow,Inward,12444.476,0.854304
2008,Western Africa,Flow,Outward,1644.984,0.095791
2008,Western Africa,Stock,Inward,69430.841,0.467531
2008,Western Africa,Stock,Outward,7148.024,0.046464
2008,Benin,Flow,Inward,169.835,0.011659
2008,Benin,Flow,Outward,-3.993,-0.000233
2008,Benin,Stock,Inward,602.38,0.004056
2008,Benin,Stock,Outward,24.274,0.000158
2009,Sub-Saharan Africa,Flow,Inward,39248.292,3.388683
2009,Sub-Saharan Africa,Flow,Outward,3875.628,0.3007
2009,Sub-Saharan Africa,Stock,Inward,330616.423,1.766589
2009,Sub-Saharan Africa,Stock,Outward,90825.502,0.460499
2009,Western Africa,Flow,Inward,14598.713,1.260447
2009,Western Africa,Flow,Outward,2064.835,0.160205
2009,Western Africa,Stock,Inward,86708.33,0.46331
2009,Western Africa,Stock,Outward,9306.667,0.047186
2009,Benin,Flow,Inward,134.286,0.011594
2009,Benin,Flow,Outward,31.187,0.00242
2009,Benin,Stock,Inward,762.802,0.004076
2009,Benin,Stock,Outward,57.467,0.000291
2010,Sub-Saharan Africa,Flow,Inward,32164.406,2.301551
2010,Sub-Saharan Africa,Flow,Outward,5617.723,0.390836
2010,Sub-Saharan Africa,Stock,Inward,422314.376,2.026075
2010,Sub-Saharan Africa,Stock,Outward,111593.563,0.518659
2010,Western Africa,Flow,Inward,11865.138,0.84902
2010,Western Africa,Flow,Outward,2352.453,0.163665
2010,Western Africa,Stock,Inward,109968.069,0.527578
2010,Western Africa,Stock,Outward,18090.037,0.084078
2010,Benin,Flow,Inward,176.804,0.012651
2010,Benin,Flow,Outward,-17.913,-0.001246
2010,Benin,Stock,Inward,604.116,0.002898
2010,Benin,Stock,Outward,21.421,0.0001
2011,Sub-Saharan Africa,Flow,Inward,40050.044,2.374934
2011,Sub-Saharan Africa,Flow,Outward,3827.531,0.223938
2011,Sub-Saharan Africa,Stock,Inward,447097.512,2.065723
2011,Sub-Saharan Africa,Stock,Outward,126030.928,0.572835
2011,Western Africa,Flow,Inward,18885.236,1.119879
2011,Western Africa,Flow,Outward,1868.077,0.109296
2011,Western Africa,Stock,Inward,129955.904,0.600435
2011,Western Africa,Stock,Outward,18842.385,0.085642
2011,Benin,Flow,Inward,161.091,0.009553
2011,Benin,Flow,Outward,59.65,0.00349
2011,Benin,Stock,Inward,734.931,0.003396
2011,Benin,Stock,Outward,76.263,0.000347
2012,Sub-Saharan Africa,Flow,Inward,42348.244,2.908471
2012,Sub-Saharan Africa,Flow,Outward,7429.069,0.543694
2012,Sub-Saharan Africa,Stock,Inward,494577.34,2.059193
2012,Sub-Saharan Africa,Stock,Outward,144161.717,0.599879
2012,Western Africa,Flow,Inward,16239.258,1.11531
2012,Western Africa,Flow,Outward,3532.136,0.258498
2012,Western Africa,Stock,Inward,159133.425,0.662559
2012,Western Africa,Stock,Outward,21585.421,0.08982
2012,Benin,Flow,Inward,281.565,0.019338
2012,Benin,Flow,Outward,40.335,0.002952
2012,Benin,Stock,Inward,1038.549,0.004324
2012,Benin,Stock,Outward,119.186,0.000496
2013,Sub-Saharan Africa,Flow,Inward,38309.391,2.524523
2013,Sub-Saharan Africa,Flow,Outward,10704.391,0.681351
2013,Sub-Saharan Africa,Stock,Inward,520079.907,1.989244
2013,Sub-Saharan Africa,Stock,Outward,162584.669,0.613766
2013,Western Africa,Flow,Inward,14216.781,0.936862
2013,Western Africa,Flow,Outward,1801.152,0.114646
2013,Western Africa,Stock,Inward,186767.286,0.714363
2013,Western Africa,Stock,Outward,21154.14,0.079858
2013,Benin,Flow,Inward,360.343,0.023746
2013,Benin,Flow,Outward,58.59,0.003729
2013,Benin,Stock,Inward,1459.716,0.005583
2013,Benin,Stock,Outward,185.418,0.0007
2014,Sub-Saharan Africa,Flow,Inward,42774.243,2.904425
2014,Sub-Saharan Africa,Flow,Outward,9771.916,0.652221
2014,Sub-Saharan Africa,Stock,Inward,544611.866,2.063102
2014,Sub-Saharan Africa,Stock,Outward,180078.405,0.679827
2014,Western Africa,Flow,Inward,11965.802,0.812493
2014,Western Africa,Flow,Outward,2212.301,0.147659
2014,Western Africa,Stock,Inward,214101.889,0.811062
2014,Western Africa,Stock,Outward,20962.778,0.079138
2014,Benin,Flow,Inward,405.737,0.02755
2014,Benin,Flow,Outward,17.278,0.001153
2014,Benin,Stock,Inward,1655.869,0.006273
2014,Benin,Stock,Outward,179.024,0.000676
2015,Sub-Saharan Africa,Flow,Inward,46117.934,2.078658
2015,Sub-Saharan Africa,Flow,Outward,8211.441,0.440561
2015,Sub-Saharan Africa,Stock,Inward,561460.373,2.074438
2015,Sub-Saharan Africa,Stock,Outward,185947.914,0.689966
2015,Western Africa,Flow,Inward,9756.657,0.439758
2015,Western Africa,Flow,Outward,2213.485,0.118758
2015,Western Africa,Stock,Inward,217721.889,0.804421
2015,Western Africa,Stock,Outward,19814.481,0.073522
2015,Benin,Flow,Inward,149.756,0.00675
2015,Benin,Flow,Outward,32.699,0.001754
2015,Benin,Stock,Inward,1631.787,0.006029
2015,Benin,Stock,Outward,192.619,0.000715
2016,Sub-Saharan Africa,Flow,Inward,33894.956,1.658615
2016,Sub-Saharan Africa,Flow,Outward,6922.433,0.447327
2016,Sub-Saharan Africa,Stock,Inward,540136.152,1.878385
2016,Sub-Saharan Africa,Stock,Outward,205718.104,0.727399
2016,Western Africa,Flow,Inward,11535.23,0.564465
2016,Western Africa,Flow,Outward,1260.45,0.08145
2016,Western Africa,Stock,Inward,165354.085,0.575038
2016,Western Africa,Stock,Outward,16662.674,0.058918
2016,Benin,Flow,Inward,131.791,0.006449
2016,Benin,Flow,Outward,17.381,0.001123
2016,Benin,Stock,Inward,1705.431,0.005931
2016,Benin,Stock,Outward,203.05,0.000718
2017,Sub-Saharan Africa,Flow,Inward,27324.187,1.543515
2017,Sub-Saharan Africa,Flow,Outward,9897.582,0.571367
2017,Sub-Saharan Africa,Stock,Inward,583331.187,1.738868
2017,Sub-Saharan Africa,Stock,Outward,304894.684,0.911027
2017,Western Africa,Flow,Inward,10366.672,0.585602
2017,Western Africa,Flow,Outward,1212.263,0.069981
2017,Western Africa,Stock,Inward,164121.219,0.489233
2017,Western Africa,Stock,Outward,17229.825,0.051483
2017,Benin,Flow,Inward,200.903,0.011349
2017,Benin,Flow,Outward,31.907,0.001842
2017,Benin,Stock,Inward,2153.634,0.00642
2017,Benin,Stock,Outward,264.893,0.000792
2018,Sub-Saharan Africa,Flow,Inward,28025.13,2.165431
2018,Sub-Saharan Africa,Flow,Outward,5646.942,0.530528
2018,Sub-Saharan Africa,Stock,Inward,583915.351,1.759937
2018,Sub-Saharan Africa,Stock,Outward,278771.195,0.871826
2018,Western Africa,Flow,Inward,8035.329,0.62087
2018,Western Africa,Flow,Outward,1122.883,0.105494
2018,Western Africa,Stock,Inward,168600.111,0.508165
2018,Western Africa,Stock,Outward,17782.108,0.055612
2018,Benin,Flow,Inward,194.074,0.014996
2018,Benin,Flow,Outward,9.771,0.000918
2018,Benin,Stock,Inward,2244.29,0.006764
2018,Benin,Stock,Outward,262.373,0.000821
2019,Sub-Saharan Africa,Flow,Inward,32881.328,1.982255
2019,Sub-Saharan Africa,Flow,Outward,3445.439,0.259113
2019,Sub-Saharan Africa,Stock,Inward,616373.886,1.666117
2019,Sub-Saharan Africa,Stock,Outward,251896.029,0.702241
2019,Western Africa,Flow,Inward,11645.011,0.702021
2019,Western Africa,Flow,Outward,1299.855,0.097755
2019,Western Africa,Stock,Inward,181819.434,0.491475
2019,Western Africa,Stock,Outward,23638.598,0.0659
2019,Benin,Flow,Inward,218.208,0.013155
2019,Benin,Flow,Outward,27.15,0.002042
2019,Benin,Stock,Inward,2420.926,0.006544
2019,Benin,Stock,Outward,284.668,0.000794
2020,Sub-Saharan Africa,Flow,Inward,31164.133,3.588009
2020,Sub-Saharan Africa,Flow,Outward,2103.564,0.324336
2020,Sub-Saharan Africa,Stock,Inward,629902.436,1.525997
2020,Sub-Saharan Africa,Stock,Outward,291357.287,0.727512
2020,Western Africa,Flow,Inward,9885.062,1.138093
2020,Western Africa,Flow,Outward,2122.519,0.327258
2020,Western Africa,Stock,Inward,195726.223,0.474165
2020,Western Africa,Stock,Outward,24857.282,0.062068
2020,Benin,Flow,Inward,174.02,0.020035
2020,Benin,Flow,Outward,21.527,0.003319
2020,Benin,Stock,Inward,2831.355,0.006859
2020,Benin,Stock,Outward,334.072,0.000834
2021,Sub-Saharan Africa,Flow,Inward,72760.201,4.339948
2021,Sub-Saharan Africa,Flow,Outward,4103.965,0.214372
2021,Sub-Saharan Africa,Stock,Inward,693030.244,1.490092
2021,Sub-Saharan Africa,Stock,Outward,268612.67,0.636118
2021,Western Africa,Flow,Inward,13628.987,0.812932
2021,Western Africa,Flow,Outward,2467.437,0.128888
2021,Western Africa,Stock,Inward,202787.325,0.436015
2021,Western Africa,Stock,Outward,28327.522,0.067084
2021,Benin,Flow,Inward,345.985,0.020637
2021,Benin,Flow,Outward,42.902,0.002241
2021,Benin,Stock,Inward,2944.627,0.006331
